project_name,year,PRCPTOT,RX1day,RX5day,RX7day,SDII,R10mm,R20mm,R25mm,R30mm,R100mm,CDD,CWD,R95p,R99p
Chibro,1965,1855.9670034646988,137.1112518310547,428.96543884277344,523.6848411560059,18.938438810864273,52,29,22,18,1,48,24,877.9030647277832,384.70042419433594
Chibro,1966,2061.5292724370956,152.95191955566406,305.7186942100525,356.93842005729675,18.913112591166016,50,30,24,22,1,47,37,1088.7745513916016,589.8132934570312
Chibro,1967,1912.8475250005722,89.06472778320312,263.1081352233887,303.4040231704712,16.07434894958464,58,29,22,18,0,49,32,748.0215835571289,391.57730865478516
Chibro,1968,1471.003986120224,80.10688018798828,229.90189361572266,264.94069385528564,13.372763510183855,41,21,16,10,0,71,19,532.0420989990234,313.00750732421875
Chibro,1969,1424.4798169136047,88.9083023071289,266.1377485394478,326.91155701875687,14.685358937253657,49,21,15,12,0,81,25,452.6995391845703,162.5390625
Chibro,1970,1521.288521528244,65.88909149169922,131.6903589963913,160.05537748336792,12.268455818776161,44,24,15,12,0,85,24,453.31201553344727,0.0
Chibro,1971,1566.2632539272308,69.92810821533203,148.05664157867432,204.06820440292358,11.956208045246036,54,24,20,14,0,58,27,231.67337799072266,0.0
Chibro,1972,867.4826595783234,57.96030807495117,102.35408115386963,134.3797264099121,9.74699617503734,30,9,6,5,0,62,29,57.96030807495117,0.0
Chibro,1973,1365.5238777399063,89.05493927001953,233.48085021972656,251.34715175628662,10.114991686962268,45,14,11,9,0,55,51,303.0752487182617,164.15422821044922
Chibro,1974,751.4733670949936,42.26385498046875,120.43453216552734,155.80932068824768,8.443520978595433,29,9,5,3,0,61,17,42.26385498046875,0.0
Chibro,1975,1226.9964184761047,60.48606491088867,114.60802650451662,137.64896261692047,11.256847875927566,47,18,11,7,0,67,20,106.14999389648438,0.0
Giri Bata,1968,1548.5989192724228,88.33074951171875,214.63613510131836,275.55199813842773,15.80202978849411,48,27,18,13,0,65,18,460.0205726623535,88.33074951171875
Giri Bata,1969,1208.9748232364655,84.6659927368164,216.67608070373535,239.86373138427734,13.141030687352885,34,23,15,11,0,81,25,209.47657012939453,0.0
Giri Bata,1970,1248.2756410837173,62.34003448486328,121.25665283203125,130.6489851474762,11.558107787812197,40,22,15,7,0,85,15,119.66606140136719,0.0
Giri Bata,1971,1730.4656975269318,99.0957489013672,301.41431617736816,380.2146625518799,14.917807737301136,55,30,21,14,0,59,17,452.7488708496094,99.0957489013672
Giri Bata,1972,916.2017421722412,50.443824768066406,144.7714900970459,182.673734664917,12.381104623949206,33,17,14,12,0,55,18,50.443824768066406,0.0
Giri Bata,1973,1451.6242544651031,77.99664306640625,245.68450736999512,310.14651584625244,13.31765371068902,37,22,18,14,0,54,18,510.8267021179199,0.0
Giri Bata,1974,696.0092327594757,41.88633728027344,134.33134841918945,152.801962018013,9.942989039421082,26,11,6,3,0,61,10,0.0,0.0
Giri Bata,1975,1456.9821261167526,104.88015747070312,206.03882312774658,238.96497720479965,16.74692098984773,48,22,19,14,1,67,9,404.6431884765625,104.88015747070312
Giri Bata,1976,1374.6495789289474,156.947509765625,255.48074769973755,259.2195503413677,16.17234798739938,39,26,19,14,1,84,10,345.3387107849121,156.947509765625
Giri Bata,1977,1228.8277854919434,111.84700012207033,196.5729764699936,210.50542724132538,13.503602038373003,32,14,11,9,1,83,15,508.6880645751953,111.84700012207033
Giri Bata,1978,1557.1113957166672,178.78672790527344,330.2483129501343,338.6945581436157,19.710270831856548,38,19,17,15,3,50,16,705.0751533508301,522.2233734130859
Khodri,1967,1471.9125527143478,71.273681640625,219.369215965271,247.32381057739258,10.822886417017264,51,18,14,13,0,48,74,549.7366199493408,184.89939880371094
Khodri,1968,1174.200482726097,52.18714904785156,170.2035083770752,228.47785568237305,9.393603861808776,43,14,12,7,0,54,29,301.5786666870117,0.0
Khodri,1969,1168.167042851448,68.6304931640625,182.325590133667,214.67506408691406,9.497293031312585,37,15,12,8,0,79,54,348.27112007141113,68.6304931640625
Khodri,1970,1161.8757116794586,47.68478775024414,112.775146484375,130.34230995178223,8.606486753181175,38,12,6,4,0,85,30,152.57237815856934,0.0
