installed_cap,dam_height,initial_cost,final_cost,planned_dur,actual_dur,rainfall,forest_area_div,dist_road,tunnel length,elevation,damlength,transmission line length cktkm,landowner_displaced,cost_overrun,duration_overrun,geo_prob_landslide,geo_prob_sz,geo_prob_wi,geo_prob_other,contract_EPC,contract_IR,contract_OTHER,retendered_encoded,seismic_encoded,category_encoded,state_encoded,funder_ADB,funder_CG,funder_PFC,funder_SG,funder_OTHER
192.0,14.5,1019.447028,2000.0,4.0,7.0,1302.0,32.17,0.1,8533.0,2700.0,157.5,176.5,0.0,96.18478891676165,75.0,0,0,0,0,1,0,0,0.0,5.0,2,0,0,0,0,0,1
180.0,53.0,53.75417727,148.0,4.0,11.5,1190.0,65.96,0.3,7630.0,1113.0,160.0,96.0,0.0,175.32743968271694,187.5,1,0,0,0,0,1,0,2.0,5.0,2,0,0,1,0,0,1
1500.0,62.5,2038.380306,8187.0,5.0,11.0,1415.0,117.995,0.2,27400.0,518.16,185.0,224.0,480.0,301.64242049932756,120.0,0,0,0,1,0,1,0,1.0,4.0,3,0,0,0,0,0,1
1415.0,225.55,759.0169919,245.28,5.0,15.0,1200.0,65.96,0.0,6250.0,344.4,518.16,3751.0,11000.0,72.73541314442237,100.0,0,1,0,0,0,1,0,0.0,4.0,3,0,0,0,0,1,0
1091.0,98.0,3784.0,1714.0,6.0,6.0,700.0,503.0,0.0,17200.0,1813.0,177.0,35.22,6.0,72.73541314442237,0.0,0,1,0,0,1,0,0,0.0,4.0,3,0,0,0,0,0,1
800.0,167.0,6229.680248,1714.0,6.8,11.0,1575.0,44.859,18.0,1830.0,1137.5,474.0,480.0,482.0,72.73541314442237,61.76470588235294,1,0,0,0,0,1,0,2.0,5.0,3,0,0,0,0,0,1
800.0,83.7,759.0169919,13600.0,5.0,23.0,1575.0,87.795,0.25,31557.0,1137.5,110.0,38.275,400.0,72.73541314442237,100.0,0,0,1,0,0,1,0,0.0,5.0,3,0,0,1,0,0,0
520.0,43.0,2659.583909,2711.0,5.0,8.6,1575.0,91.24,0.25,7875.0,325.0,229.0,3.5,174.0,1.933238159022117,72.0,0,1,1,0,0,1,0,2.0,4.5,3,0,0,0,0,0,1
540.0,140.0,954.666405,2114.0,6.0,10.0,1700.0,110.0,100.0,6414.0,1000.0,785.0,100.0,433.0,121.4386081806241,66.66666666666666,0,1,0,0,0,0,1,0.0,5.0,3,0,0,0,0,0,1
300.0,43.0,1909.595879,2708.0,4.5,4.08,1300.0,78.8,0.0,7830.0,1162.0,118.5,4.0,157.0,41.81010913251976,-9.333333333333332,0,1,0,0,1,0,0,0.0,5.0,2,0,0,1,0,0,1
