project_name,state,Latitude,Longitude,catchment_area_sq_km,catchment_outlet_lat,catchment_outlet_lon,commissioning_year,starting_year,installed_cap,dam_height,initial_cost,final_cost,planned_dur,actual_dur,seismic_zone,forest_area_div,dist_road,contract type,contract retendered,tunnel length,elevation,damlength,category,transmission line length cktkm,landowner_displaced,funder,glof_risk,source,catchment_source,PRCPTOT_mean,PRCPTOT_max,RX1day_mean,RX1day_max,RX5day_mean,RX5day_max,R10mm_mean,R10mm_max,R20mm_mean,R20mm_max,R25mm_mean,R25mm_max,R30mm_mean,R30mm_total,R100mm_mean,R100mm_total,CDD_mean,CDD_max,CWD_mean,CWD_max,R95p_mean,R95p_max,R99p_mean,R99p_max,SDII
alain duhangan,himachal,32.2215,77.2245,363,32.2215,77.2245,2010,2003,192.0,14.5,1019.447028,2000*,4.0,7.0,V,32.17,0.1,EPC,NO,8533,2700,,large,176.5,0,IFC+ADHP,Medium/High (Elevation > 1500m),"IFC,MOP,ADHL",ADB-46919/IFC project docs (Allain+Duhangan catchments),1379.5418510288,1879.0305794477463,100.00072765350342,134.04820251464844,173.18915045261383,234.21574020385742,42.25,56.0,18.375,29.0,13.375,22.0,9.625,77.0,0.625,5.0,43.75,82.0,17.25,30.0,201.64541578292847,469.96893310546875,77.97125720977783,247.34442901611328,11.412962573144156
baira siul,himachal,32.8063,76.1418,2020,32.8063,76.1418,1981,1970,180.0,53,53.75417727,148,4.0,11.5,V,,0.3*,IR,YES,7630,1113,160,large,96,0,CG+NHPC,Low/Unknown,"PIB,https://www.cwejournal.org/vol17no1/ecological-consequences-of-hydropower-development-in-himachal-pradesh-with-special-reference-to-chamera-dam,IMD,NCS,ijrar","NHPC/CWE Journal (Baira+Siul+Bhaledh combined basins, Ravi trib.)",1652.9536221126716,2282.3899788856506,94.60265890757243,172.517333984375,221.83378082265457,409.10061264038086,52.666666666666664,78.0,24.75,38.0,18.166666666666668,28.0,14.083333333333334,169.0,0.4166666666666667,5.0,36.833333333333336,91.0,21.75,45.0,620.3266016642252,975.639575958252,211.94245020548502,385.51951599121094,12.981311168424122
nathpa jhakri,himachal,31.5658,77.9814,49820,31.5658,77.9814,2004,1993,1500.0,62.5,2038.380306,8187,5.0,11.0,IV,117.995,0.2,IR,NO-LD,27400,518.16,185*,mega,224*,480,WB,High (History/Prone),SJVN,SJVN DPR via IHA/hydropower.org (total Sutlej above Nathpa),1087.3548070391018,1356.800490617752,51.20109748840332,87.02849578857422,122.80571919322635,210.31714630126953,30.75,46.0,8.0,13.0,4.333333333333333,8.0,2.8333333333333335,34.0,0.0,0.0,44.5,79.0,45.083333333333336,86.0,236.03907934824625,416.24110412597656,83.90239556630452,198.87804412841797,6.743285625048694
bhakra,himachal,31.4111,76.4356,56980,31.4111,76.4356,1963,1948,1415.0,225.55,,245.28,,15.0,IV,,0,IR,NO,,344.4,518.16,mega,3751,11000,SG,Low/Unknown,https://bbmb.gov.in/index-hi.htm ; https://cea.nic.in/wp-content/uploads/pdm/2022/03/Bhakra_Left_Bank_HPS_U_3_Upration.pdf,BBMB/CWC (Sutlej above Bhakra — Grokipedia citing BBMB),1088.321016083161,1473.725796341896,55.22081502278646,133.16578674316406,154.41449304421744,362.2357368469238,35.75,45.0,11.25,18.0,5.666666666666667,9.0,3.0,36.0,0.16666666666666666,2.0,55.0,107.0,47.083333333333336,90.0,287.5406490961711,639.1265182495117,107.60221258799235,437.2802085876465,7.900697031456705
karcham wangtoo,himachal,31.5012,78.0178,48755,31.5012,78.0178,2011,2005,1091.0,98,3784.0,,6.0,6.0,IV,503,0,EPC,NO,17200,1813,177,mega,35.22,6,PSC,High (History/Prone),https://www.researchgate.net/publication/272821005_Environmental_and_social_impact_of_Karcham-Wangtoo_hydropower_project_in_the_Kinnaur_district_of_Himachal_Pradesh_a_retrospective_analysis ; https://www.jswenergy.in/businesses/power-generation/karcham-wangtoo-hydro-plant/ ; https://www.jppowerventures.com/wp-content/uploads/2013/10/VOL-I.pdf ; https://www.mobt3ath.com/uplode/book/book-99499.pdf ;,"JSW Energy COO Sharad Mahendra, public statement reported by The Tribune (Oct 15, 2018) — ""project catchment area is 48,755 sq km (79.5% snow area)""",1108.157923068319,1384.5955505371094,44.72402272905622,59.979339599609375,113.99572604043144,148.99498462677002,34.285714285714285,46.0,9.285714285714286,16.0,6.142857142857143,11.0,4.428571428571429,31.0,0.0,0.0,35.42857142857143,71.0,37.857142857142854,98.0,265.51373400006975,481.1490955352783,83.27582332066127,227.0337142944336,7.1494059552794775
koldam,himachal,31.3975,76.8614,53000,31.3975,76.8614,2015,2004,800.0,167,6229.680248,,6.8,11.0,V,44.859,18,IR,YES,1830,,474,mega,480,482,NTPC,Low/Unknown,https://archive.pib.gov.in/release02/lyr2002/rjul2002/02072002/r020720024.html ; https://www.researchgate.net/publication/289659782_Monitoring_of_Earth_and_Rock-Fill_Dam_of_Koldam_HEPP_during_First_Step_of_Initial_Impounding ; https://forestsclearance.nic.in/writereaddata/AdditionalInformation/AddInfoSought/2014_5_511221245121318482014FCFACSHEET.pdf,NTPC DPR / aguidetohimachal.com citing NTPC (Sutlej above Koldam),1023.3417764604092,1255.061397433281,41.718241691589355,60.28264617919922,109.28072426716487,142.7985544204712,33.916666666666664,41.0,9.833333333333334,16.0,4.916666666666667,8.0,3.0,36.0,0.0,0.0,46.0,94.0,35.416666666666664,90.0,223.45271158218384,373.37804794311523,45.26869487762451,142.11626434326172,7.433475373804425
parbati II,himachal,31.8422,77.3458,834,31.8422,77.3458,2024,2001,800.0,83.7,,13600,,23.0,V,87.795,,IR,,31557,,110,mega,,400,CG ,Low/Unknown,"https://www.nhpcindia.com/assests/pzi_public/gallery/1672224798.pdf ; https://www.greentribunal.gov.in/sites/default/files/news_updates/Counter%20Affidavit%20on%20behalf%20of%20R%207%20MoEF%20CC%20in%20OA%20No%2098%20of%202026%20Chandresh%20Kumar%20Vs%20State%20of%20HP%20and%20Ors.pdf ; 
https://www.nhpcindia.com/assests/pzi_public/gallery/17797927680hi.pdf ; IMD","NHPC — Parbati basin ~1,149 km² total; dam at Pulga catches ~834 km²",995.7223166773716,1450.9011554718018,62.661797205607094,113.09204864501952,117.11989599776764,270.5286695212126,31.916666666666668,47.0,13.0,23.0,8.791666666666666,18.0,5.625,135.0,0.08333333333333333,2.0,48.041666666666664,100.0,10.166666666666666,17.0,240.3581202030182,639.7954730987549,61.93066533406576,329.51268005371094,9.58193087420085
parbati III,himachal,31.8317,77.2581,807,31.8317,77.2581,2014,2005,520.0,43,2659.583909,2711,5.0,8.6,IV/V,91.24,,IR,YES,7875,325,229,mega,3.5*,174,PSU,Low/Unknown,; https://www.nhpcindia.com/welcome/project_detail/34/2.html ; https://www.hppcl.in/WriteReadData/userfiles/file/environment-policy/2009_12_Summary_EIA.pdf ; https://www.nhpcindia.com/assests/pzi_public/gallery/16889644280hi.pdf ; https://uppcl.org/uppcl-pdf/PPA-PARBATI_070919.pdf ;  https://www.nhpcindia.com/assests/pzi_public/gallery/17210259780.pdf ;  https://phedwater.rajasthan.gov.in/content/dam/doitassets/water/Ground%20Water/Pdf/PublicReports/Groundwater_Atlas/Basinwise/Parbati%20River%20Basin.pdf ; https://nsearchives.nseindia.com/corporate/IDBITSL_13062025163535_VR_NHPC_merged.pdf ;https://www.slideshare.net/slideshow/powerful-parbati/22966570#12 ;https://www.researchgate.net/publication/327982647_Local_area_Development_through_Hydropower_Project_a_case_study_of_Parbati_Hydro-electric_Project_Stage-III520MW_in_Kullu_district_of_Himachal_PradeshIndia ; ,NHPC — Parbati basin upstream of Parbati-III diversion,1139.8083110451698,1479.5429499149323,64.72975654602051,104.62220001220705,138.24218041002752,213.46718174219131,36.8,49.0,15.5,24.0,10.1,19.0,7.3,73.0,0.1,1.0,47.7,82.0,12.3,19.0,280.1241943359375,665.0184211730957,69.99009780883789,243.32608032226562,10.305680931692313
chamera I,himachal,32.5936,75.9961,472,32.5936,75.9961,1994,1984,540.0,140,954.666405,2114,6.0,10.0,V,110*,100,bilateral,NO,6414,1000,785,mega,100,433,GE,Low/Unknown,"National Hydroelectric Power Corpn. Ltd., Faridabad v. Punjab State Electricity Board, Patiala ; https://www.scribd.com/document/802890268/INDOROCK2014RockBehaviourinaLargeCavern-Chamera-I#google_vignette ; https://www.nhpcindia.com/welcome/project_detail/18/2.html",Wikipedia/Wikiwand citing NHPC DPR (Ravi above Chamera I dam),1327.2337838086214,2262.0167820453644,72.48467809503728,123.2285614013672,184.9295835386623,468.13219451904297,42.0,62.0,17.454545454545453,33.0,11.818181818181818,26.0,8.909090909090908,98.0,0.36363636363636365,4.0,40.0,62.0,19.454545454545453,39.0,327.88876377452505,1049.1850929260254,109.10639260031961,552.8676910400391,10.927823070280565
chamera II,himachal,32.5225,76.2414,2596,32.5225,76.2414,2004,2000,300.0,43,1909.595879,2708,4.5,4.08,V,78.8,0,EPC,NO,7830,1162,118.5,large,4,157,CG+NHPC,Low/Unknown,"Central Electricity Regulatory Commission ; https://cea.nic.in/wp-content/uploads/2020/04/rfd_1516.pdf ;  https://cercind.gov.in/2010/ORDER/Sept10/signed_order_in_Pet_No._57-2010.pdf ; https://www.nhpcindia.com/welcome/project_detail/22/index.php.html ; https://forestsclearance.nic.in/writereaddata/Addinfo/0_0_1117121212151JointIns.pdf ; National Hydroelectric Power Corporation Ltd. v. Punjab State Electricity Board
Central Electricity Regulatory Commission
Aug 14, 2003;","CBIP (Central Board of Irrigation & Power, Govt of India) technical paper ""A Case Study of Chamera Stage-II & III"" — official catchment at Chamera-II dam site on Ravi River",745.8013841152191,890.8238536119461,34.46871376037598,36.11878967285156,92.34913120269775,113.57461357116699,22.0,28.0,6.6,12.0,3.8,9.0,2.2,11.0,0.0,0.0,63.2,98.0,17.0,29.0,0.0,0.0,0.0,0.0,6.867416059992809
