project_name,mean_pred,median_pred,p5,p10,p70,p90,p95,risk_category,scale_factor,mode,plot_file
alain duhangan,92.04781621470876,87.15568880476673,-33.63660356003757,0.3997966703801552,113.52890023021853,183.89499677373811,250.02612595327733,Medium,1.0,empirical LOOCV residuals,alain_duhangan.png
baira siul,174.0926128700999,169.25613262387242,32.72508754148302,71.19629463031738,199.06566804705238,278.60018561743266,353.3479365094572,High,1.1302960015863641,empirical LOOCV residuals,baira_siul.png
nathpa jhakri,293.84606243389044,285.90826240771787,124.25960708734644,169.80836041820157,321.20185672521694,415.3683359244944,503.86742719436984,High,1.338236506284499,empirical LOOCV residuals,nathpa_jhakri.png
parbati III,53.57794520117507,48.9880007407878,-71.8042916240165,-37.767891393598774,75.3612121662396,145.7273087097592,211.8584378892984,Medium,1.0,empirical LOOCV residuals,parbati_III.png
chamera I,151.35789041860127,145.45129549967712,19.331436372063678,54.86901843323601,172.98770237301758,246.4573088328959,315.5051638970629,High,1.0441051879926195,empirical LOOCV residuals,chamera_I.png
chamera II,55.65303470626442,50.31251973626961,-70.47977262853469,-36.44337239811696,76.6857311617214,147.051827705241,213.1829568847802,Medium,1.0,empirical LOOCV residuals,chamera_II.png
chamera III,51.78374144435528,47.028412270982066,-73.99456180456698,-39.89316094472969,73.45198963792195,143.95246703647217,210.20988939013665,Medium,1.0019097386615372,empirical LOOCV residuals,chamera_III.png
bajoli holi,24.911225267722386,16.8341567375953,-192.4371237727609,-133.46944528321922,62.525447283736085,184.43391379172286,299.00534723386505,Medium,1.732488691234842,empirical LOOCV residuals,bajoli_holi.png
rampur,120.71668763259188,115.27584434610105,-5.516448018703244,28.519952211714482,141.64905577155287,212.01515231507244,278.1462814946117,High,1.0,empirical LOOCV residuals,rampur.png
malana I,43.6116558419219,39.27048171375347,-81.52181065105083,-47.4854104206331,65.64369313920527,136.00978968272486,202.14091886226407,Low,1.0,empirical LOOCV residuals,malana_I.png
